parameter;definition;unity;lima_perc;lima_hit;chachapoyas_perc;chachapoyas_hit;tacna_perc;tacna_hit;arequipa_perc;arequipa_hit;juliaca_perc;juliaca_hit;
Cu;initial investment by kWp;USD/kWp;2499;2695;2672;2880;2542;2748;2373;2578;2896;3105;
Hopt;global irradiation in optimum inclined plane (measured);Kwh/m2year;1522;1522;1515;1515;2154;2154;2099;2099;2314;2314;
P;peak power;kWp;1.675;1.65;1.675;1.65;1.675;1.65;1.675;1.65;1.675;1.65;
PR;performance ratio;%;80;83;83;87;67;84;70;84;82;86;
rd;annual degredation rate;%;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;
El;annual household electricity consumption;kWh/year;0;0;0;0;0;0;0;0;0;0;
N;life cycle;years;25;25;25;25;25;25;25;25;25;25;
SCI;self consumption index;%;100;100;100;100;100;100;100;100;100;100;
COM;anual operation and maintenance cost;% of PVi;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;
d;discount rate;%;3;3;3;3;3;3;3;3;3;3;
pg;price at which electricity is sold to the grid;USD/kWh;0;0;0;0;0;0;0;0;0;0;
ps;price at which electricity is self consumed;USD/kWh;0.177;0.177;0.278;0.278;0.266;0.266;0.246;0.246;0.26;0.26;
rpg;annual escalation rate of pg;%;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;
rps;annual escalation rate of ps;%;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;
rom;annual escalation rate of opex;%;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;
T;income tax rate;%;0;0;0;0;0;0;0;0;0;0;
Nd;period of amortization of the investment for tax purposes;years;0;0;0;0;0;0;0;0;0;0;
Xd;total depreciation allowance;% of PVi;0;0;0;0;0;0;0;0;0;0;
Xl;part of PVi financed with loan;% of PVi;0;0;0;0;0;0;0;0;0;0;
Xec;part of PVi financed with equity capital;% of PVi;100;100;100;100;100;100;100;100;100;100;
Xis;part of PVi financed with subsidy or grant;% of PVi;0;0;0;0;0;0;0;0;0;0;
il;annual loan interest;%;0;0;0;0;0;0;0;0;0;0;
Nis;amortization of investment subsidy;years;0;0;0;0;0;0;0;0;0;0;
Nl;amortization of loan;years;0;0;0;0;0;0;0;0;0;0;
dec;annual dividend of the equity capital or return on equity;%;0;0;0;0;0;0;0;0;0;0;
