parameter;definition;unity;lima_perc;lima_hit;lima_topcon;chachapoyas_perc;chachapoyas_hit;chachapoyas_topcon;tacna_perc;tacna_hit;tacna_topcon;arequipa_perc;arequipa_hit;arequipa_topcon;juliaca_perc;juliaca_hit;juliaca_topcon
Cu;initial investment by kWp;USD/kWp;1276;1489;1077;1541;1754;1342;1524;1736;1324;1506;1718;1306;1541;1754;1342
Hopt;global irradiation in optimum inclined plane (measured);Kwh/m2year;1522;1522;1522;1515;1515;1515;2154;2154;2154;2099;2099;2099;2314;2314;2314
P;peak power;kWp;1.675;1.65;1.65;1.675;1.65;1.65;1.675;1.65;1.65;1.675;1.65;1.65;1.675;1.65;1.65
PR;performance ratio;%;80;83;83;83;87;87;67;84;84;70;84;84;82;86;86
rd;annual degredation rate;%;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
El;annual household electricity consumption;kWh/year;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
N;life cycle;years;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25
SCI;self consumption index;%;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
COM;anual operation and maintenance cost;% of PVi;2.05;1.75;2.42;1.46;1.28;1.68;1.48;1.3;1.7;1.49;1.31;1.72;1.46;1.28;1.68
d;discount rate;%;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
pg;price at which electricity is sold to the grid;USD/kWh;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ps;price at which electricity is self consumed;USD/kWh;0.2017;0.2017;0.2017;0.2615;0.2615;0.2615;0.2352;0.2352;0.2352;0.2232;0.2232;0.2232;0.2851;0.2851;0.2851
rpg;annual escalation rate of pg;%;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
rps;annual escalation rate of ps;%;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
rom;annual escalation rate of opex;%;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
T;income tax rate;%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nd;period of amortization of the investment for tax purposes;years;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Xd;total depreciation allowance;% of PVi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Xl;part of PVi financed with loan;% of PVi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Xec;part of PVi financed with equity capital;% of PVi;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
Xis;part of PVi financed with subsidy or grant;% of PVi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
il;annual loan interest;%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nis;amortization of investment subsidy;years;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nl;amortization of loan;years;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dec;annual dividend of the equity capital or return on equity;%;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
