city;scenario;LCOE_USD_per_kWh;NPV_USD;IRR_%;DPBT_years;Hopt_kWhm2y;P_kWp;PR_frac;rd_frac;El_kWh_y;N_years;SCI_frac;Cu_USD_kWp;COM_frac;d_disc_frac;pg_USD_kWh;ps_USD_kWh;rpg_frac;rps_frac;rom_frac;T_tax_frac;Nd_years;Xd_frac;Xl_frac;Xec_frac;Xis_frac;il_frac;Nis_years;Nl_years;dec_frac;PVI_USD;EPV_kWh_y;EPVs_kWh_y;EPVg_kWh_y;PVOM_USD_y1
arequipa;hit;0.08956;9577.59;24.964;4.751546838;2099;1.65;0.84;0.005;0;25;1;1718;0.0131;0.05;0;0.2232;0.04;0.04;0.02;0;0;0;0;1;0;0;0;0;0.05;2834.7;2909.214;2909.214;0;37.13457
arequipa;perc;0.096627;7871.691;23.624;5.066624036;2099;1.675;0.7;0.005;0;25;1;1506;0.0149;0.05;0;0.2232;0.04;0.04;0.02;0;0;0;0;1;0;0;0;0;0.05;2522.55;2461.0775;2461.0775;0;37.585995
arequipa;topcon;0.072061;10258.598;31.911;3.583764644;2099;1.65;0.84;0.005;0;25;1;1306;0.0172;0.05;0;0.2232;0.04;0.04;0.02;0;0;0;0;1;0;0;0;0;0.05;2154.9;2909.214;2909.214;0;37.06428
chachapoyas;hit;0.121792;7899.211;21.615;5.617415306;1515;1.65;0.87;0.005;0;25;1;1754;0.0128;0.05;0;0.2615;0.04;0.04;0.02;0;0;0;0;1;0;0;0;0;0.05;2894.1;2174.7825;2174.7825;0;37.04448
chachapoyas;perc;0.115049;7840.833;23.2;5.174843397;1515;1.675;0.83;0.005;0;25;1;1541;0.0146;0.05;0;0.2615;0.04;0.04;0.02;0;0;0;0;1;0;0;0;0;0.05;2581.175;2106.22875;2106.22875;0;37.685155
chachapoyas;topcon;0.09852;8576.335;27.447;4.260140279;1515;1.65;0.87;0.005;0;25;1;1342;0.0168;0.05;0;0.2615;0.04;0.04;0.02;0;0;0;0;1;0;0;0;0;0.05;2214.3;2174.7825;2174.7825;0;37.20024
juliaca;hit;0.080666;15284.029;34.561;3.27155711;2314;1.65;0.86;0.005;0;25;1;1754;0.0128;0.05;0;0.2851;0.04;0.04;0.02;0;0;0;0;1;0;0;0;0;0.05;2894.1;3283.566;3283.566;0;37.04448
juliaca;perc;0.076242;14982.654;37.157;3.01418231;2314;1.675;0.82;0.005;0;25;1;1541;0.0146;0.05;0;0.2851;0.04;0.04;0.02;0;0;0;0;1;0;0;0;0;0.05;2581.175;3178.279;3178.279;0;37.685155
juliaca;topcon;0.065252;15961.153;44.126;2.49065807;2314;1.65;0.86;0.005;0;25;1;1342;0.0168;0.05;0;0.2851;0.04;0.04;0.02;0;0;0;0;1;0;0;0;0;0.05;2214.3;3283.566;3283.566;0;37.20024
lima;hit;0.115134;5253.938;18.454;6.756621929;1522;1.65;0.83;0.005;0;25;1;1489;0.0175;0.05;0;0.2017;0.04;0.04;0.02;0;0;0;0;1;0;0;0;0;0.05;2456.85;2084.379;2084.379;0;42.994875
lima;perc;0.106484;5377.39;20.438;6.004559938;1522;1.675;0.8;0.005;0;25;1;1276;0.0205;0.05;0;0.2017;0.04;0.04;0.02;0;0;0;0;1;0;0;0;0;0.05;2137.3;2039.48;2039.48;0;43.81465
lima;topcon;0.090761;5933.571;24.667;4.827022725;1522;1.65;0.83;0.005;0;25;1;1077;0.0242;0.05;0;0.2017;0.04;0.04;0.02;0;0;0;0;1;0;0;0;0;0.05;1777.05;2084.379;2084.379;0;43.00461
tacna;hit;0.088062;10608.106;26.62;4.41126845;2154;1.65;0.84;0.005;0;25;1;1736;0.013;0.05;0;0.2352;0.04;0.04;0.02;0;0;0;0;1;0;0;0;0;0.05;2864.4;2985.444;2985.444;0;37.2372
tacna;perc;0.099414;8224.949;24.147;4.939239496;2154;1.675;0.67;0.005;0;25;1;1524;0.0148;0.05;0;0.2352;0.04;0.04;0.02;0;0;0;0;1;0;0;0;0;0.05;2552.7;2417.3265;2417.3265;0;37.77996
tacna;topcon;0.070998;11289.607;33.952;3.339582831;2154;1.65;0.84;0.005;0;25;1;1324;0.017;0.05;0;0.2352;0.04;0.04;0.02;0;0;0;0;1;0;0;0;0;0.05;2184.6;2985.444;2985.444;0;37.1382
